Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days,Second_Booster_Vax_pct_agegroup,Second_Booster_Pop_Pct_known,Second_Booster_Pop_Pct_US,Second_Booster_Pop_Pct_known_Last14Days,Second_Booster,Second_Booster_Last14Days
09/14/2022,Ages_50-64_yrs,59916337,22.7,22.7,52440445,94.1,82.4,23.3,23.3,55.5,26.7,24.3,18.6,29125156,39993,25.8,33.5,33.5,43.5,7527586,128146
09/14/2022,Ages_<12yrs,12370629,4.7,4.7,9388021,25.5,19.4,4.2,4.2,95,1.2,0.4,15.5,1299726,33382,,,,,,
09/14/2022,Ages_25-49_yrs,91180260,34.6,34.6,77086275,83.5,70.6,34.3,34.3,41.2,29.1,35.7,25.4,31756498,54497,,,,,,
09/14/2022,US,263415633,,100,224636858,79.3,67.7,,100,48.6,,100,,109078517,214966,34.7,,100,,22495442,294476
09/14/2022,Race_eth_unknown,66248245,33.6,25.1,48825783,,,27.8,21.7,25.4,12.8,27.8,12.5,12357022,23873,31.6,11.5,10.3,8.5,2321551,23025
09/14/2022,Race_eth_NHWhite,108216327,54.9,41.1,98448739,54.8,49.9,56,43.8,59.8,60.7,56,59.5,58720121,113775,37.2,70.6,63.3,70.7,14235853,191902
09/14/2022,Ages_<5yrs,1188305,0.5,0.5,322443,6,1.6,0.1,0.1,,,,,,,,,,,,
09/14/2022,Race_eth_known,197167373,99.9,74.9,175811068,,,99.9,78.3,55.1,99.9,99.9,99.9,96721495,191093,35.1,99.9,89.7,99.9,20173891,271451
09/14/2022,Race_eth_NHNHOPI,638033,0.3,0.2,574716,68.7,61.9,0.3,0.3,49.2,0.3,0.3,0.3,282315,500,33.3,0.2,0.2,0.2,43632,476
09/14/2022,Sex_unknown,2273516,0.9,0.9,1503423,,,0.7,0.7,13.2,0.2,0.7,0.1,197487,178,17.6,0.1,0.1,0.1,18769,157
09/14/2022,Age_known,263406671,99.9,99.9,224634633,,,99.9,99.9,50.5,99.9,99.9,99.9,109078517,214966,34.7,99.9,99.9,99.9,22495442,294476
09/14/2022,Ages_12-15_yrs,11667761,4.4,4.4,9969222,69,58.9,4.4,4.4,26.8,2.4,4.6,4.3,2667203,9312,,,,,,
09/14/2022,Race_eth_NHMultiracial,4075197,2.1,1.5,4070973,55.5,55.4,2.3,1.8,68.5,2.9,2.3,3.4,2783117,6529,44.4,3.5,3.1,4,699344,10847
09/14/2022,Ages_2-4_yrs,852506,0.3,0.3,240288,7.1,2,0.1,0.1,,,,,,,,,,,,
09/14/2022,Ages_<2yrs,335799,0.1,0.1,82155,4.4,1.1,0,0,,,,,,,,,,,,
09/14/2022,Ages_16-17_yrs,6254307,2.4,2.4,5364186,74.5,63.9,2.4,2.4,32.4,1.6,2.5,1.5,1738649,3254,,,,,,
09/14/2022,Sex_Male,124946228,47.8,47.4,106261761,76.4,65,47.6,47.3,46.6,45.4,47.6,48,49389635,103131,34,44.5,44.5,45.3,10007355,133234
09/14/2022,Ages_65+_yrs,57537688,21.8,21.8,50499423,95,92.2,22.5,22.5,70.8,32.8,23.4,29.3,35735912,62999,41.9,66.5,66.5,56.5,14967856,166330
09/14/2022,Race_eth_NHBlack,20371961,10.3,7.7,17840476,49.4,43.3,10.1,7.9,46.2,8.5,10.2,8.4,8229964,16008,29.4,7.6,6.8,6.3,1530803,17136
09/14/2022,Sex_Female,136195889,52.2,51.7,116871674,80.8,69.3,52.4,52,51,54.6,52.4,52,59491395,111657,35.3,55.5,55.4,54.7,12469318,161085
09/14/2022,Race_eth_NHMult_Oth,11918778,6,4.5,10654662,,,6.1,4.7,55.4,6.1,6.1,6.3,5887025,11993,36,6,5.3,6.5,1201804,17512
09/14/2022,Ages_18-24_yrs,24479689,9.3,9.3,19887061,80,65,8.9,8.9,34,6.2,9.2,5.4,6755373,11529,,,,,,
09/14/2022,Ages_65-74_yrs,34251327,13,13,30127305,95,94.5,13.4,13.4,69.1,19.1,13.9,17.7,20809992,38105,40.3,37.2,37.2,35.5,8377649,104645
09/14/2022,Ages_40-49_yrs,35632684,13.5,13.5,30678476,87.4,75.2,13.7,13.7,45.9,12.9,14.2,10.3,14086053,22047,,,,,,
09/14/2022,Ages_25-39_yrs,55547576,21.1,21.1,46407799,81.2,67.9,20.7,20.7,38.1,16.2,21.5,15.1,17670445,32450,,,,,,
09/14/2022,Sex_known,261142117,99.9,99.1,223133435,,,99.9,99.3,48.9,99.9,99.9,99.9,108881030,214788,34.7,99.9,99.9,99.9,22476673,294319
09/14/2022,Race_eth_NHOther,7843581,4,3,6583689,,,3.7,2.9,47.3,3.2,3.7,2.9,3103908,5464,28.5,2.5,2.2,2.5,502460,6665
09/14/2022,Ages_12-17_yrs,17922068,6.8,6.8,15333408,70.8,60.6,6.8,6.8,28.7,4,7.1,5.8,4405852,12566,,,,,,
09/14/2022,Race_eth_NHAIAN,1817793,0.9,0.7,1510541,74.6,62,0.9,0.7,46.6,0.7,0.9,0.7,703815,1306,32.2,0.6,0.5,0.4,117953,971
09/14/2022,Age_unknown,8962,0,0,2225,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/14/2022,Race_eth_Hispanic,40966584,20.8,15.6,34870897,64.3,54.7,19.8,15.5,42.5,15.3,19.8,15.6,14817919,29904,26.2,8.9,8,9.2,1796794,24838
09/14/2022,Race_eth_NHAsian,13237897,6.7,5,11911037,69.7,62.7,6.8,5.3,68.1,8.4,6.8,9.2,8080336,17607,37,6.2,5.5,6.9,1247052,18616
09/14/2022,Ages_75+_yrs,23286361,8.8,8.8,20372118,95,88.9,9.1,9.1,73.3,13.7,9.4,11.6,14925920,24894,44.2,29.3,29.3,20.9,6590207,61685
09/14/2022,Ages_5-11_yrs,11015997,4.2,4.2,8979864,38.3,31.2,4,4,14.5,1.2,4.2,15.5,1299726,33382,,,,,,
09/13/2022,Ages_5-11_yrs,11015997,4.2,4.2,8979864,38.3,31.2,4,4,14.5,1.2,4.2,17.4,1299726,40144,,,,,,
09/13/2022,Ages_<2yrs,335799,0.1,0.1,82155,4.4,1.1,0,0,,,,,,,,,,,,
09/13/2022,Ages_25-49_yrs,91180260,34.6,34.6,77086275,83.5,70.6,34.3,34.3,41.2,29.1,35.7,24.8,31756498,57257,,,,,,
09/13/2022,Ages_50-64_yrs,59916337,22.7,22.7,52440445,94.1,82.4,23.3,23.3,55.5,26.7,24.3,18.2,29125156,41944,25.8,33.5,33.5,43.4,7527586,132492
09/13/2022,Ages_<12yrs,12370629,4.7,4.7,9388021,25.5,19.4,4.2,4.2,95,1.2,0.4,17.4,1299726,40144,,,,,,
09/13/2022,US,263415633,,100,224636858,79.3,67.7,,100,48.6,,100,,109078517,231080,34.7,,100,,22495442,305594
09/13/2022,Sex_Male,124946228,47.8,47.4,106261761,76.4,65,47.6,47.3,46.6,45.4,47.6,47.9,49389635,110701,34,44.5,44.5,45.2,10007355,138022
09/13/2022,Ages_2-4_yrs,852506,0.3,0.3,240288,7.1,2,0.1,0.1,,,,,,,,,,,,
09/13/2022,Race_eth_known,197167373,99.9,74.9,175811068,,,99.9,78.3,55.1,99.9,99.9,99.9,96721495,205048,35.1,99.9,89.7,99.9,20173891,281339
09/13/2022,Ages_<5yrs,1188305,0.5,0.5,322443,6,1.6,0.1,0.1,,,,,,,,,,,,
09/13/2022,Race_eth_unknown,66248245,33.6,25.1,48825783,,,27.8,21.7,25.4,12.8,27.8,12.7,12357022,26032,31.6,11.5,10.3,8.6,2321551,24255
09/13/2022,Sex_unknown,2273516,0.9,0.9,1503423,,,0.7,0.7,13.2,0.2,0.7,0.1,197487,205,17.6,0.1,0.1,0.1,18769,171
09/13/2022,Race_eth_NHWhite,108216327,54.9,41.1,98448739,54.8,49.9,56,43.8,59.8,60.7,56,58.5,58720121,119938,37.2,70.6,63.3,70.2,14235853,197545
09/13/2022,Age_known,263406671,99.9,99.9,224634633,,,99.9,99.9,50.5,99.9,99.9,99.9,109078517,231080,34.7,99.9,99.9,99.9,22495442,305594
09/13/2022,Race_eth_NHMultiracial,4075197,2.1,1.5,4070973,55.5,55.4,2.3,1.8,68.5,2.9,2.3,3.4,2783117,6924,44.4,3.5,3.1,4,699344,11121
09/13/2022,Race_eth_NHNHOPI,638033,0.3,0.2,574716,68.7,61.9,0.3,0.3,49.2,0.3,0.3,0.3,282315,616,33.3,0.2,0.2,0.2,43632,533
09/13/2022,Ages_12-15_yrs,11667761,4.4,4.4,9969222,69,58.9,4.4,4.4,26.8,2.4,4.6,4.6,2667203,10723,,,,,,
09/13/2022,Ages_40-49_yrs,35632684,13.5,13.5,30678476,87.4,75.2,13.7,13.7,45.9,12.9,14.2,10,14086053,23073,,,,,,
09/13/2022,Ages_12-17_yrs,17922068,6.8,6.8,15333408,70.8,60.6,6.8,6.8,28.7,4,7.1,6.3,4405852,14452,,,,,,
09/13/2022,Race_eth_NHBlack,20371961,10.3,7.7,17840476,49.4,43.3,10.1,7.9,46.2,8.5,10.2,8.7,8229964,17915,29.4,7.6,6.8,6.6,1530803,18692
09/13/2022,Ages_16-17_yrs,6254307,2.4,2.4,5364186,74.5,63.9,2.4,2.4,32.4,1.6,2.5,1.6,1738649,3729,,,,,,
09/13/2022,Race_eth_NHMult_Oth,11918778,6,4.5,10654662,,,6.1,4.7,55.4,6.1,6.1,6.2,5887025,12814,36,6,5.3,6.4,1201804,17985
09/13/2022,Ages_65+_yrs,57537688,21.8,21.8,50499423,95,92.2,22.5,22.5,70.8,32.8,23.4,28.1,35735912,64850,41.9,66.5,66.5,56.6,14967856,173102
09/13/2022,Ages_65-74_yrs,34251327,13,13,30127305,95,94.5,13.4,13.4,69.1,19.1,13.9,16.9,20809992,39168,40.3,37.2,37.2,35.5,8377649,108415
09/13/2022,Ages_18-24_yrs,24479689,9.3,9.3,19887061,80,65,8.9,8.9,34,6.2,9.2,5.4,6755373,12433,,,,,,
09/13/2022,Sex_Female,136195889,52.2,51.7,116871674,80.8,69.3,52.4,52,51,54.6,52.4,52.1,59491395,120174,35.3,55.5,55.4,54.8,12469318,167401
09/13/2022,Race_eth_NHAsian,13237897,6.7,5,11911037,69.7,62.7,6.8,5.3,68.1,8.4,6.8,9.1,8080336,18637,37,6.2,5.5,6.8,1247052,19090
09/13/2022,Race_eth_Hispanic,40966584,20.8,15.6,34870897,64.3,54.7,19.8,15.5,42.5,15.3,19.8,16.4,14817919,33621,26.2,8.9,8,9.4,1796794,26450
09/13/2022,Sex_known,261142117,99.9,99.1,223133435,,,99.9,99.3,48.9,99.9,99.9,99.9,108881030,230875,34.7,99.9,99.9,99.9,22476673,305423
09/13/2022,Ages_25-39_yrs,55547576,21.1,21.1,46407799,81.2,67.9,20.7,20.7,38.1,16.2,21.5,14.8,17670445,34184,,,,,,
09/13/2022,Age_unknown,8962,0,0,2225,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/13/2022,Ages_75+_yrs,23286361,8.8,8.8,20372118,95,88.9,9.1,9.1,73.3,13.7,9.4,11.1,14925920,25682,44.2,29.3,29.3,21.2,6590207,64687
09/13/2022,Race_eth_NHOther,7843581,4,3,6583689,,,3.7,2.9,47.3,3.2,3.7,2.9,3103908,5890,28.5,2.5,2.2,2.4,502460,6864
09/13/2022,Race_eth_NHAIAN,1817793,0.9,0.7,1510541,74.6,62,0.9,0.7,46.6,0.7,0.9,0.7,703815,1507,32.2,0.6,0.5,0.4,117953,1044
09/12/2022,Race_eth_NHAIAN,1817779,0.9,0.7,1510528,74.6,62,0.9,0.7,46.6,0.7,0.9,0.8,703791,1816,32.2,0.6,0.5,0.4,117940,1236
